psn,DRIFT0R_actual,1.22,153.237410072,140.608172273
psn,xclusiveace,2.155,246.511627907,182.898714073
psn,SirocBoi21,0.142,0,137.06705969
psn,mrflockabud,0.485,0,133.099682872
psn,knj3-25-11,0.042,0,92.4939705665
psn,peaplehater,1.253,101.823708207,91.5470103015
psn,tyashooter,1.746,196.575342466,138.826755912
psn,lb3nld,1.148,116.393442623,142.401097396
psn,nzetty88,0.0,0,124.691978734
psn,jsweet162,0.849,102.325581395,84.8399043296
psn,kor2004,2.725,413.888888889,134.71985523
psn,batesonfire23,0.859,51.9083969466,84.0602980129
